fold,MAE,RMSE,EV
1,0.1777263027384225,0.2327662329346805,0.03252549452625808
2,0.17849819043640144,0.23546973332142837,0.011416329339920761
3,0.18109068324346614,0.23598562791170982,0.02440631520344172
4,0.18341629701122283,0.237844277390408,0.027804135548664122
5,0.1813893744838126,0.23691043376937568,0.024712362353062955
