fold,MAE,RMSE,EV
1,0.17553860354254383,0.2312447940671984,0.04495615827786892
2,0.17688163020316308,0.23393925073956462,0.02418682906305203
3,0.17861867784928737,0.2340039443150979,0.0407575369834402
4,0.18129062792066805,0.23629176928346024,0.040454919714858706
5,0.17946284323414977,0.23559459896055984,0.035432375898810875
