fold,MAE,RMSE,EV
1,0.17808559774894903,0.23380304136291935,0.04699253584715524
2,0.1799312259830131,0.2364837775153185,0.028107822084002754
3,0.1749671430042052,0.2308440419717179,0.03674396139118841
4,0.18073720078821065,0.23542640420344627,0.041117727894263045
5,0.17921133357655955,0.23545967097208698,0.024916676927402404
