fold,MAE,RMSE,EV
1,0.17831411153245275,0.2346776685534225,0.03196947975920139
2,0.17885991930345715,0.23379678832517534,0.04632274203868525
3,0.1802842920158764,0.23586042929856796,0.02479159618088722
4,0.1786710373417673,0.23439196780785065,0.03143451420911303
5,0.17991559424812506,0.23517829344671104,0.027755197741964444
