iter	MAE
0	0.154877366
1	0.154632196
2	0.1544089924
3	0.1541699985
4	0.1539666825
5	0.153669679
6	0.1534168537
7	0.1531899694
8	0.1529272321
9	0.1526722847
10	0.1524824605
11	0.152274898
12	0.1521099477
13	0.1519410459
14	0.1517631339
15	0.1515506466
16	0.151365026
17	0.1511826394
18	0.1510445874
19	0.1508478641
20	0.1506568597
21	0.1505022788
22	0.1503753353
23	0.1502396828
24	0.1501082605
25	0.149975352
26	0.149832417
27	0.1497259979
28	0.1496361178
29	0.1494880056
30	0.1493444906
31	0.1492505004
32	0.1491406284
33	0.1490367915
34	0.1489246568
35	0.1487880561
36	0.1486593962
37	0.1485754302
38	0.1484563804
39	0.1483366399
40	0.1482589071
41	0.1482152717
42	0.1481160678
43	0.1480574865
44	0.1479823853
45	0.1479132901
46	0.1477994574
47	0.1477392019
48	0.1476341038
49	0.1475654871
50	0.1474881342
51	0.1474064471
52	0.1473362063
53	0.1472852304
54	0.1472015201
55	0.1471467472
56	0.1470818136
57	0.1470191034
58	0.1469510961
59	0.146887069
60	0.1468164364
61	0.1467265066
62	0.146671822
63	0.1466329345
64	0.1466055978
65	0.1465419254
66	0.1464843198
67	0.146435221
68	0.1463579102
69	0.1463213504
70	0.1462848328
71	0.1462365348
72	0.1461954859
73	0.1461546428
74	0.1461260047
75	0.1460903895
76	0.1460513622
77	0.1459991326
78	0.1459577162
79	0.1459139745
80	0.1458915207
81	0.145853841
82	0.1457850364
83	0.1457405163
84	0.1456839254
85	0.1456660808
86	0.1456041108
87	0.1455482953
88	0.1455006874
89	0.145463045
90	0.1454240282
91	0.1453885705
92	0.1453493504
93	0.1452944524
94	0.1452605197
95	0.1452187365
96	0.1451923145
97	0.1451473692
98	0.1451189901
99	0.145070932
100	0.1450527157
101	0.1450145123
102	0.1449933182
103	0.1449504275
104	0.1449245915
105	0.1448987548
106	0.1448758379
107	0.1448441799
108	0.1448071105
109	0.1447647609
110	0.1447453549
111	0.1447214276
112	0.1447082676
113	0.1446946668
114	0.1446694415
115	0.1446410229
116	0.1446195616
117	0.1445958401
118	0.144577204
119	0.1445692463
120	0.1445456755
121	0.1445132312
122	0.1444997028
123	0.144480967
124	0.1444571334
125	0.1444266409
126	0.1444047027
127	0.1443821685
128	0.144351364
129	0.1443250188
130	0.1443076801
131	0.1442922419
132	0.1442838399
133	0.144264722
134	0.1442376044
135	0.1442298455
136	0.1442139235
137	0.1441971437
138	0.1441819652
139	0.1441616232
140	0.1441409604
141	0.1441310983
142	0.1441147388
143	0.1440988762
144	0.1440884824
145	0.1440818503
146	0.1440663707
147	0.1440507105
148	0.144033244
149	0.144019159
150	0.1440022764
151	0.143988182
152	0.1439791035
153	0.1439561736
154	0.1439425956
155	0.1439295004
156	0.1439052349
157	0.1438907839
158	0.143883232
159	0.1438652936
160	0.1438635954
161	0.1438545591
162	0.143829931
163	0.1438201196
164	0.1437929968
165	0.1437616335
166	0.1437510793
167	0.1437410055
168	0.1437249521
169	0.1437063388
170	0.1436935033
171	0.1436627487
172	0.1436423213
173	0.1436327082
174	0.1436288867
175	0.143617712
176	0.143604267
177	0.1435865808
178	0.1435722262
179	0.1435641855
180	0.143550235
181	0.1435355249
182	0.1435259475
183	0.1435146228
184	0.1434993632
185	0.1434858887
186	0.1434774292
187	0.1434692872
188	0.1434575457
189	0.143449865
190	0.1434369486
191	0.1434250086
192	0.1434182995
193	0.1434098971
194	0.1434025409
195	0.1433949023
196	0.1433829672
197	0.1433748176
198	0.1433636954
199	0.1433518223
200	0.1433420877
201	0.1433236287
202	0.1433111856
203	0.1432996961
204	0.1432919644
205	0.1432879761
206	0.1432806955
207	0.1432773034
208	0.1432767403
209	0.1432623365
210	0.1432525555
211	0.1432478377
